Timestamp,Light Color,State,Response Time (s),Time Since Last Change (s),FPS,Runtime (s),Detection %,Confidences,Other Object Counter,Other Object Confidence % Average
2025-05-19T09:01:17.505286,RED,ON,4.962,4.962,9.15,8.31,63.16,,,0,0.00
2025-05-19T09:01:17.573287,RED,ON,5.030,5.030,9.19,8.38,62.34,,,0,0.00
2025-05-19T09:01:17.637382,RED,ON,5.094,5.094,9.24,8.44,62.82,motorcycle: 1,motorcycle:0.41,1,40.65
2025-05-19T09:01:17.705390,RED,ON,5.162,5.162,9.29,8.51,63.29,motorcycle: 1,motorcycle:0.32,1,32.21
2025-05-19T09:01:17.773257,RED,ON,5.230,5.230,9.33,8.58,63.75,motorcycle: 1,motorcycle:0.45,1,45.25
2025-05-19T09:01:17.837284,RED,ON,5.294,5.294,9.38,8.64,64.20,motorcycle: 1,motorcycle:0.36,1,36.05
2025-05-19T09:01:17.905230,RED,ON,5.362,5.362,9.42,8.71,63.41,,,0,0.00
2025-05-19T09:01:17.969313,RED,ON,5.426,5.426,9.46,8.77,63.86,motorcycle: 1,motorcycle:0.59,1,58.67
2025-05-19T09:01:18.037286,RED,ON,5.494,5.494,9.50,8.84,63.10,,,0,0.00
2025-05-19T09:01:18.105266,RED,ON,5.562,5.562,9.54,8.91,63.53,motorcycle: 1,motorcycle:0.33,1,32.98
2025-05-19T09:01:18.169362,RED,ON,5.626,5.626,9.59,8.97,63.95,motorcycle: 1,motorcycle:0.42,1,42.18
2025-05-19T09:01:18.237271,RED,ON,5.694,5.694,9.62,9.04,64.37,motorcycle: 1,motorcycle:0.37,1,36.81
2025-05-19T09:01:18.301434,RED,ON,5.759,5.759,9.67,9.10,64.77,motorcycle: 1,motorcycle:0.33,1,32.98
2025-05-19T09:01:18.369375,RED,ON,5.826,5.826,9.70,9.17,64.04,,,0,0.00
2025-05-19T09:01:18.437365,RED,ON,5.894,5.894,9.74,9.24,64.44,motorcycle: 1,motorcycle:0.31,1,30.68
2025-05-19T09:01:18.501313,RED,ON,5.958,5.958,9.78,9.30,63.74,,,0,0.00
2025-05-19T09:01:18.569301,RED,ON,6.026,6.026,9.82,9.37,64.13,motorcycle: 1,motorcycle:0.43,1,42.57
